asset,x,y,z,rot_y,sx,sy,sz,tile_x,tile_y,tile_z,layer,tags
bp_wall_block_2x2x1,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0,0,3,base,"boundary,wall"
bp_wall_block_2x2x1,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1,0,3,base,"boundary,wall"
bp_wall_block_2x2x1,5.0,3.0,1.0,0.0,1.0,1.0,1.0,2,0,3,base,"boundary,wall"
bp_tile_portal_dais_2x2_z4,7.0,4.0,1.0,0.0,1.0,0.35,1.0,3,0,4,base,"portal_summit,corrupted_zone,high_ground,objective"
bp_portal_arch_2x1x4,7.0,4.0,1.0,0.0,2.0,4.0,0.5,3,0,4,component,"portal_summit,corrupted_zone,high_ground,objective"
bp_void_crack_vfx_2x2,7.0,4.08,1.0,0.0,1.0,0.05,1.0,3,0,4,component,"portal_summit,corrupted_zone,high_ground,objective"
bp_tile_portal_dais_2x2_z4,9.0,4.0,1.0,0.0,1.0,0.35,1.0,4,0,4,base,"portal_summit,corrupted_zone,high_ground,objective"
bp_portal_arch_2x1x4,9.0,4.0,1.0,0.0,2.0,4.0,0.5,4,0,4,component,"portal_summit,corrupted_zone,high_ground,objective"
bp_void_crack_vfx_2x2,9.0,4.08,1.0,0.0,1.0,0.05,1.0,4,0,4,component,"portal_summit,corrupted_zone,high_ground,objective"
bp_tile_stone_floor_2x2,11.0,4.0,1.0,0.0,1.0,0.15,1.0,5,0,4,base,"portal_summit,corrupted_zone,high_ground,objective,corrupted_zone,damage_over_time"
bp_portal_arch_2x1x4,11.0,4.0,1.0,0.0,2.0,4.0,0.5,5,0,4,component,"portal_summit,corrupted_zone,high_ground,objective,corrupted_zone,damage_over_time"
bp_void_crack_vfx_2x2,11.0,4.08,1.0,0.0,1.0,0.05,1.0,5,0,4,component,"portal_summit,corrupted_zone,high_ground,objective,corrupted_zone,damage_over_time"
bp_tile_portal_dais_2x2_z4,11.0,4.0,1.0,0.0,1.0,0.35,1.0,5,0,4,component,"portal_summit,corrupted_zone,high_ground,objective,corrupted_zone,damage_over_time"
bp_tile_stone_floor_2x2,1.0,2.0,3.0,0.0,1.0,0.15,1.0,0,1,2,base,"pillar,hard_cover"
bp_obelisk_pillar_1x1x2,1.0,2.0,3.0,0.0,0.5,2.0,0.5,0,1,2,component,"pillar,hard_cover"
bp_wall_block_2x2x1,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1,1,2,base,"boundary,wall"
bp_stair_segment_2x2_rise1,5.0,2.0,3.0,0.0,1.0,1.0,1.0,2,1,2,base,"stairs,choke_point"
bp_tile_stone_floor_2x2,7.0,2.0,3.0,0.0,1.0,0.15,1.0,3,1,2,base,
bp_tile_stone_floor_2x2,9.0,2.0,3.0,0.0,1.0,0.15,1.0,4,1,2,base,enemy_spawn
bp_tile_stone_floor_2x2,11.0,2.0,3.0,0.0,1.0,0.15,1.0,5,1,2,base,"corrupted_zone,damage_over_time"
bp_void_crack_vfx_2x2,11.0,2.08,3.0,0.0,1.0,0.05,1.0,5,1,2,component,"corrupted_zone,damage_over_time"
bp_wall_block_2x2x1,1.0,2.0,5.0,0.0,1.0,1.0,1.0,0,2,2,base,"boundary,wall"
bp_tile_stone_floor_2x2,3.0,2.0,5.0,0.0,1.0,0.15,1.0,1,2,2,base,
bp_tile_stone_floor_2x2,5.0,2.0,5.0,0.0,1.0,0.15,1.0,2,2,2,base,
bp_stair_segment_2x2_rise1,7.0,2.0,5.0,0.0,1.0,1.0,1.0,3,2,2,base,"stairs,choke_point"
bp_tile_stone_floor_2x2,9.0,2.0,5.0,0.0,1.0,0.15,1.0,4,2,2,base,enemy_spawn
bp_tile_stone_floor_2x2,11.0,2.0,5.0,0.0,1.0,0.15,1.0,5,2,2,base,"corrupted_zone,damage_over_time"
bp_void_crack_vfx_2x2,11.0,2.08,5.0,0.0,1.0,0.05,1.0,5,2,2,component,"corrupted_zone,damage_over_time"
bp_tile_stone_floor_2x2,1.0,1.0,7.0,0.0,1.0,0.15,1.0,0,3,1,base,
bp_tile_stone_floor_2x2,3.0,1.0,7.0,0.0,1.0,0.15,1.0,1,3,1,base,
bp_water_channel_2x2,5.0,1.0,7.0,0.0,1.0,0.05,1.0,2,3,1,base,"waterway,slow,low_ground"
bp_water_channel_2x2,7.0,1.0,7.0,0.0,1.0,0.05,1.0,3,3,1,base,"waterway,slow,low_ground"
bp_stair_segment_2x2_rise1,9.0,1.0,7.0,0.0,1.0,1.0,1.0,4,3,1,base,"stairs,choke_point"
bp_tile_stone_floor_2x2,11.0,1.0,7.0,0.0,1.0,0.15,1.0,5,3,1,base,"corrupted_zone,damage_over_time"
bp_void_crack_vfx_2x2,11.0,1.08,7.0,0.0,1.0,0.05,1.0,5,3,1,component,"corrupted_zone,damage_over_time"
bp_tile_stone_floor_2x2,1.0,1.0,9.0,0.0,1.0,0.15,1.0,0,4,1,base,"pillar,hard_cover"
bp_obelisk_pillar_1x1x2,1.0,1.0,9.0,0.0,0.5,2.0,0.5,0,4,1,component,"pillar,hard_cover"
bp_wall_block_2x2x1,3.0,1.0,9.0,0.0,1.0,1.0,1.0,1,4,1,base,"boundary,wall"
bp_water_channel_2x2,5.0,1.0,9.0,0.0,1.0,0.05,1.0,2,4,1,base,"waterway,slow,low_ground"
bp_water_channel_2x2,7.0,1.0,9.0,0.0,1.0,0.05,1.0,3,4,1,base,"waterway,slow,low_ground"
bp_tile_stone_floor_2x2,9.0,1.0,9.0,0.0,1.0,0.15,1.0,4,4,1,base,enemy_spawn
bp_stair_segment_2x2_rise1,11.0,1.0,9.0,0.0,1.0,1.0,1.0,5,4,1,base,"stairs,choke_point"
bp_tile_stone_floor_2x2,1.0,0.0,11.0,0.0,1.0,0.15,1.0,0,5,0,base,"player_spawn,lower_plaza"
bp_spawn_marker_player,1.0,0.08,11.0,0.0,0.5,0.02,0.5,0,5,0,component,"player_spawn,lower_plaza"
bp_tile_stone_floor_2x2,3.0,0.0,11.0,0.0,1.0,0.15,1.0,1,5,0,base,"player_spawn,lower_plaza"
bp_spawn_marker_player,3.0,0.08,11.0,0.0,0.5,0.02,0.5,1,5,0,component,"player_spawn,lower_plaza"
bp_tile_stone_floor_2x2,5.0,0.0,11.0,0.0,1.0,0.15,1.0,2,5,0,base,"player_spawn,lower_plaza"
bp_spawn_marker_player,5.0,0.08,11.0,0.0,0.5,0.02,0.5,2,5,0,component,"player_spawn,lower_plaza"
bp_tile_stone_floor_2x2,7.0,0.0,11.0,0.0,1.0,0.15,1.0,3,5,0,base,
bp_wall_block_2x2x1,9.0,0.0,11.0,0.0,1.0,1.0,1.0,4,5,0,base,"boundary,wall"
bp_wall_block_2x2x1,11.0,0.0,11.0,0.0,1.0,1.0,1.0,5,5,0,base,"boundary,wall"
