id,name,faction,role,sex,stats,abilities,deityArtDna
"MG-DEITY-001","Aten-Ra","Aten Ra","Endurance","Male","{""hp"": 52, ""attack"": 10, ""range"": 2, ""energy"": 5, ""speed"": 2, ""armor"": 19, ""resistance"": 12, ""critChance"": 7, ""accuracy"": 82, ""evasion"": 4, ""guardBreak"": 8, ""combatPower"": 238}","[""Aten-Ra \u2014 Ma\u2019at-Weighted Strike Anchor"", ""Pylon Edict Technique \u2014 Bastion"", ""Aten-Ra: Sun-Scale Decree Holdfast"", ""Divine Ascension \u2014 Aten-Ra Source Radiance""]","{""mythology"": ""Ra/Re + Aten + Ma\u2019at"", ""realm"": ""The Solar Dominion of Khepra"", ""civilization"": ""An extradimensional solar civilization whose crowns, pylons, collars, sun-discs, scarabs, throne-magic, river rites, lion guardians, and desert-storm wardens later appeared in human Egyptian myth as imperfect memories of the source Realm."", ""cultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""beautyStandard"": ""solar-kingship masculinity: ritual height, desert-lean strength, carved jaw, calm judging eyes, electrum restraint, no brute bulk"", ""realmAnatomy"": ""sun-forged divine anatomy with electrum warmth under skin, lapis/obsidian shadow seams, faience vein inlays, Ma\u2019at balance scars, and living sun-disc organs"", ""identityFace"": ""one-eyed storm-king face with a broken hawk nose, deep-set glacier eye, heavy brow, forked iron-gray beard, and asymmetric raven-scar cheek; unique to Aten Ra through the broken crown prong facial/cranial rhythm"", ""identityBody"": ""massive oath-anchor torso, thick forearms, grounded legs, shield-wall stance, unmistakably masculine without losing individual anatomy; height/proportion offset 1: floating oath-ring stack changes the black-shape read"", ""roleSilhouette"": ""fortress-readable silhouette with broad guard arms, heavy base, protective negative space, and a weapon planted like law plus root-wrapped ankle guard so the character reads alone in silhouette"", ""signatureWeapon"": ""Aten-Ra Sun-Disc Aegis Staff"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Aten Ra mask/helmet/crown uses spiral hip-chain, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Colossal living solar judge with readable divine anatomy, an Aten sun-disc crown radiating subtle hand-like rays, electrum wesekh collar fused into chest armor, Ma\u2019at feather balance seams, white-gold noon aura, black-lapis shadow insets, and pylon-shaped shield forearms. Must feel older than Egyptian royalty, not a statue, robot, sarcophagus, or pyramid body."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-002","Sutekh","Aten Ra","Conduit","Male","{""hp"": 38, ""attack"": 11, ""range"": 3, ""energy"": 5, ""speed"": 3, ""armor"": 9, ""resistance"": 14, ""critChance"": 8, ""accuracy"": 84, ""evasion"": 7, ""guardBreak"": 6, ""combatPower"": 226}","[""Sutekh \u2014 Ma\u2019at-Weighted Strike Kindle"", ""Pylon Edict Technique \u2014 Reservoir"", ""Sutekh: Sun-Scale Decree Overchannel"", ""Divine Ascension \u2014 Aten-Ra Source Radiance""]","{""mythology"": ""Khepri + Black Land fertility + solar renewal"", ""realm"": ""The Solar Dominion of Khepra"", ""civilization"": ""An extradimensional solar civilization whose crowns, pylons, collars, sun-discs, scarabs, throne-magic, river rites, lion guardians, and desert-storm wardens later appeared in human Egyptian myth as imperfect memories of the source Realm."", ""cultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""beautyStandard"": ""solar-kingship masculinity: ritual height, desert-lean strength, carved jaw, calm judging eyes, electrum restraint, no brute bulk"", ""realmAnatomy"": ""sun-forged divine anatomy with electrum warmth under skin, lapis/obsidian shadow seams, faience vein inlays, Ma\u2019at balance scars, and living sun-disc organs"", ""identityFace"": ""square wolf-jaw face with flattened warrior nose, close-set amber eyes, cropped battle braids, and frost-bitten cheekbones; unique to Sutekh through the left-shoulder raven mantle facial/cranial rhythm"", ""identityBody"": ""masculine mythic playable build; height/proportion offset 2: single back banner changes the black-shape read"", ""roleSilhouette"": ""clear unique playable silhouette plus wing-shadow cape edge so the character reads alone in silhouette"", ""signatureWeapon"": ""Sutekh Khepri Dawn-Roller Staff"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Sutekh mask/helmet/crown uses split cloak tail, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Massive renewal-battery Deity with scarab-inspired carapace plates, faience and lapis inlay reservoirs, papyrus-green conduit veins, black Nile-silt glass core, dawn-gold crown, and slow rotating solar arcs behind the shoulders. Avoid insect monster; he is a divine generator of rebirth with clear anatomy and ceremonial mass."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-003","Iset","Aten Ra","Dominion","Female","{""hp"": 38, ""attack"": 10, ""range"": 4, ""energy"": 5, ""speed"": 3, ""armor"": 8, ""resistance"": 16, ""critChance"": 7, ""accuracy"": 86, ""evasion"": 8, ""guardBreak"": 9, ""combatPower"": 226}","[""Iset \u2014 Ma\u2019at-Weighted Strike Vector"", ""Pylon Edict Technique \u2014 Field Rewrite"", ""Iset: Sun-Scale Decree Dominion Grid"", ""Divine Ascension \u2014 Aten-Ra Source Radiance""]","{""mythology"": ""Necropolis dawn + Duat horizon + obsidian judgement"", ""realm"": ""The Solar Dominion of Khepra"", ""civilization"": ""An extradimensional solar civilization whose crowns, pylons, collars, sun-discs, scarabs, throne-magic, river rites, lion guardians, and desert-storm wardens later appeared in human Egyptian myth as imperfect memories of the source Realm."", ""cultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""beautyStandard"": ""solar-sovereign femininity: radiant Nile grace, narrow luminous waist, rounded hips, long neck, kohl-defined authority, warm alluring dignity"", ""realmAnatomy"": ""sun-forged divine anatomy with electrum warmth under skin, lapis/obsidian shadow seams, faience vein inlays, Ma\u2019at balance scars, and living sun-disc organs"", ""identityFace"": ""classical divine face with soft cheek fullness, arched brows, clear mouth, and marble-warm feminine symmetry; unique to Iset through the spiral hip-chain facial/cranial rhythm"", ""identityBody"": ""elegant tall sorceress build, long neck and arms, tapered waist, flowing garment silhouette, commanding feminine stillness; height/proportion offset 3: braided weapon tether changes the black-shape read"", ""roleSilhouette"": ""vertical command silhouette with crown/halo/mantle spread, long gesture hand, and battlefield-rule presence plus three-bead brow line so the character reads alone in silhouette"", ""signatureWeapon"": ""Iset Horizon Compass Staff"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Iset mask/helmet/crown uses asymmetric high collar, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Tall controller Deity of black sunrise: obsidian-blue enamel mask, thin amber dawn visor, horizon-ring collar, ivory limestone relief plates, black-gold scale armor, and angular light lanes emerging from underworld-shadow limbs. Must feel like living threshold law, not a mummy, statue, or necropolis building."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-004","Amunet","Aten Ra","Fracture","Female","{""hp"": 44, ""attack"": 13, ""range"": 2, ""energy"": 3, ""speed"": 2, ""armor"": 12, ""resistance"": 8, ""critChance"": 9, ""accuracy"": 81, ""evasion"": 4, ""guardBreak"": 18, ""combatPower"": 214}","[""Amunet \u2014 Ma\u2019at-Weighted Strike Rend"", ""Pylon Edict Technique \u2014 Rupture"", ""Amunet: Sun-Scale Decree Sundering Trial"", ""Divine Ascension \u2014 Aten-Ra Source Radiance""]","{""mythology"": ""Ma\u2019at weighing + prism light + divine verdict"", ""realm"": ""The Solar Dominion of Khepra"", ""civilization"": ""An extradimensional solar civilization whose crowns, pylons, collars, sun-discs, scarabs, throne-magic, river rites, lion guardians, and desert-storm wardens later appeared in human Egyptian myth as imperfect memories of the source Realm."", ""cultureRule"": ""source culture humans later copied as Egyptian solar myth"", ""beautyStandard"": ""solar-kingship masculinity: ritual height, desert-lean strength, carved jaw, calm judging eyes, electrum restraint, no brute bulk"", ""realmAnatomy"": ""sun-forged divine anatomy with electrum warmth under skin, lapis/obsidian shadow seams, faience vein inlays, Ma\u2019at balance scars, and living sun-disc organs"", ""identityFace"": ""broad sun-carved face with high cheekbones, straight ceremonial nose, close-cropped beard, and steady tribunal gaze; unique to Amunet through the split cloak tail facial/cranial rhythm"", ""identityBody"": ""masculine mythic playable build; height/proportion offset 4: crescent shoulder void changes the black-shape read"", ""roleSilhouette"": ""clear unique playable silhouette plus thorn rib lattice so the character reads alone in silhouette"", ""signatureWeapon"": ""Amunet Staff"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Amunet mask/helmet/crown uses floating oath-ring stack, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Shadow Deity with crystalline solar-prism chest, weighing-scale shoulder geometry, Ma\u2019at feather linework, clear amber glass execution blades, electrum ribs, and fractured light exposing enemy weak points. Avoid generic crystal robot; the prism must feel sacred, judicial, and alive."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-010","Odin","Asgardian","Endurance","Male","{""hp"": 48, ""attack"": 10, ""range"": 2, ""energy"": 5, ""speed"": 2, ""armor"": 19, ""resistance"": 12, ""critChance"": 7, ""accuracy"": 82, ""evasion"": 4, ""guardBreak"": 8, ""combatPower"": 234}","[""Odin \u2014 Oath-Ring Cleave Anchor"", ""Rune-Thunder Technique \u2014 Bastion"", ""Odin: Yggdrasil Root Oath Holdfast"", ""Divine Ascension \u2014 Ragnarok Storm Unbound""]","{""mythology"": ""Asgardian defender office: sovereign protector, gate-holder, law shield; Thor: thunder, hammer impact, protection, giant-breaking storms"", ""realm"": ""The Storm-Rooted Aesir Holds"", ""civilization"": ""A realm-born oath civilization whose halls, runes, ravens, world-root bridges, funerary feasts, shield walls, Valkyrie weatherfields, and storm kings later entered human Norse myth as distorted saga memory."", ""cultureRule"": ""source culture humans later copied as Norse myth"", ""beautyStandard"": ""oath-hall masculinity: weathered face, saga-broad chest or seer-lean frame, braided beard/hair, scarred confidence, endurance over glamour"", ""realmAnatomy"": ""storm-root anatomy with rune scars cut like old wounds, iron-and-ash skin grain, frost-light joints, oath-ring growths, raven-shadow eyes, thunder moving in veins"", ""identityFace"": ""one-eyed storm-king face: one living glacier-blue eye, one sacrificed dark socket veiled by a raven-shadow brow plate, broken hawk nose, deep cheek furrows, forked iron-gray beard, and no similarity to any other Asgardian"", ""identityBody"": ""elder-warrior Endurance body: towering but not bodybuilder-generic, long cloak-backed torso, immense weathered hands, heavy protective forearms, narrower veteran hips, root-braced legs, and a permanent shield-wall lean shaped by centuries holding a Gate"", ""roleSilhouette"": ""unmistakable Odin silhouette: one-eyed high crown, raven-shoulder mantle on one side, wolf-jaw pauldron on the other, Yggdrasil root spine rising behind him, planted oath-axe crossing a bastion shield shape, readable even as a black icon"", ""signatureWeapon"": ""Odin Bulwark Rune-Iron Oath Axe"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Odin mask/helmet/crown uses three-bead brow line, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""asymmetric storm-iron mail built around a one-eyed oath-king: raven-feather shadow mantle over one shoulder, wolf-jaw guard on the opposite side, oath-ring collar, root-braced greaves, thunder scars burned into skin as old wounds, no horned cosplay helmet"", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-011","Thor","Asgardian","Conduit","Male","{""hp"": 40, ""attack"": 11, ""range"": 3, ""energy"": 5, ""speed"": 3, ""armor"": 9, ""resistance"": 14, ""critChance"": 8, ""accuracy"": 84, ""evasion"": 7, ""guardBreak"": 6, ""combatPower"": 228}","[""Thor \u2014 Oath-Ring Cleave Kindle"", ""Rune-Thunder Technique \u2014 Reservoir"", ""Thor: Yggdrasil Root Oath Overchannel"", ""Divine Ascension \u2014 Ragnarok Storm Unbound""]","{""mythology"": ""Asgardian battery office: renewal engine, resource hearth, stored sacred force; Freyja/Valkyries: choosing the slain, battle fate, swan/raven/boar omens"", ""realm"": ""The Storm-Rooted Aesir Holds"", ""civilization"": ""A realm-born oath civilization whose halls, runes, ravens, world-root bridges, funerary feasts, shield walls, Valkyrie weatherfields, and storm kings later entered human Norse myth as distorted saga memory."", ""cultureRule"": ""source culture humans later copied as Norse myth"", ""beautyStandard"": ""oath-hall masculinity: weathered face, saga-broad chest or seer-lean frame, braided beard/hair, scarred confidence, endurance over glamour"", ""realmAnatomy"": ""storm-root anatomy with rune scars cut like old wounds, iron-and-ash skin grain, frost-light joints, oath-ring growths, raven-shadow eyes, thunder moving in veins"", ""identityFace"": ""one-eyed storm-king face with a broken hawk nose, deep-set glacier eye, heavy brow, forked iron-gray beard, and asymmetric raven-scar cheek; unique to Thor through the wing-shadow cape edge facial/cranial rhythm"", ""identityBody"": ""masculine mythic playable build; height/proportion offset 11: sun-scar collar notch changes the black-shape read"", ""roleSilhouette"": ""clear unique playable silhouette plus left-shoulder raven mantle so the character reads alone in silhouette"", ""signatureWeapon"": ""Thor Generator Rune-Iron Oath Axe"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Thor mask/helmet/crown uses thorn rib lattice, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Full-body living myth-source Deity, not a costume: Thor shows storm-iron mail, oath-ring collars, raven and wolf omen shapes, world-root veins, Valkyrie wing-weather, thunder scars, frost-giant mass, shield-wall geometry, ash wood, funeral flame, runes burned as physical wounds not UI glow.."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-012","Skadi","Asgardian","Dominion","Female","","[""Skadi \u2014 Frost Arrow Volley"", ""Winter's Bite Technique \u2014 Frozen Ground"", ""Skadi: Avalanche Barrage"", ""Divine Ascension \u2014 Skadi Eternal Winter""]","{""mythology"": ""Skadi \u2014 Norse goddess of hunting, winter, skiing, mountains"", ""realm"": ""Thrymheim (her mountain hall)"", ""civilization"": ""A frost-giantess who joined the Aesir; her culture is mountain survival, hunting, and winter warfare. Humans later remembered her as the snowshoe goddess."", ""cultureRule"": ""source culture humans later copied as Norse winter/hunting myth"", ""beautyStandard"": ""wild huntress beauty: lean athletic build, sharp features, ice-blue eyes, frost-pale skin with blue energy veins, braided ice-white hair"", ""identityFace"": ""sharp-featured huntress face with high cheekbones, narrowed predator eyes, frost-bitten lips, and ice-white braided hair with a iron circlet"", ""identityBody"": ""athletic hunter build with broad shoulders for drawing a divine bow, long legs for mountain travel"", ""skinType"": ""living ice-metal with frost-crack energy veins in ice-blue"", ""armorCanon"": ""Norse hunting leathers and furs over storm-iron plate \u2014 designed for mobility in extreme cold. NOT full plate. Fur-lined leather, iron chain accents, snowshoe boots."", ""footwear"": ""Reinforced winter hunting boots with iron grips"", ""aura"": ""frost-blue and ice-white with snow particles"", ""groundEffect"": ""frozen mountain peak with snow, ice crystals, and tiny mountain pines showing colossal scale"", ""signatureWeapon"": ""Skadi Frostwood Greatbow""}"
"MG-DEITY-013","Freyja","Asgardian","Fracture","Female","{""hp"": 40, ""attack"": 13, ""range"": 2, ""energy"": 3, ""speed"": 2, ""armor"": 12, ""resistance"": 8, ""critChance"": 9, ""accuracy"": 81, ""evasion"": 4, ""guardBreak"": 18, ""combatPower"": 210}","[""Freyja \u2014 Oath-Ring Cleave Rend"", ""Rune-Thunder Technique \u2014 Rupture"", ""Freyja: Yggdrasil Root Oath Sundering Trial"", ""Divine Ascension \u2014 Ragnarok Storm Unbound""]","{""mythology"": ""Asgardian breaker office: judgement rupture, armor sundering, trial by force; Valhalla/einherjar: honored dead, feast before final war"", ""realm"": ""The Storm-Rooted Aesir Holds"", ""civilization"": ""A realm-born oath civilization whose halls, runes, ravens, world-root bridges, funerary feasts, shield walls, Valkyrie weatherfields, and storm kings later entered human Norse myth as distorted saga memory."", ""cultureRule"": ""source culture humans later copied as Norse myth"", ""beautyStandard"": ""Valkyrie-queen femininity: fierce beautiful face, athletic waist-to-hip clarity, wind-carved grace, braided ceremonial hair, shieldmaiden poise without masculine blockiness"", ""realmAnatomy"": ""storm-root anatomy with rune scars cut like old wounds, iron-and-ash skin grain, frost-light joints, oath-ring growths, raven-shadow eyes, thunder moving in veins"", ""identityFace"": ""classical divine face with soft cheek fullness, arched brows, clear mouth, and marble-warm feminine symmetry; unique to Freyja through the thorn rib lattice facial/cranial rhythm"", ""identityBody"": ""feminine mythic playable build; height/proportion offset 13: bell-ring halo segment changes the black-shape read"", ""roleSilhouette"": ""clear unique playable silhouette plus split cloak tail so the character reads alone in silhouette"", ""signatureWeapon"": ""Freyja Sunderer Rune-Iron Oath Axe"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Freyja mask/helmet/crown uses blood-wax sash knot, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Full-body living myth-source Deity, not a costume: Freyja shows storm-iron mail, oath-ring collars, raven and wolf omen shapes, world-root veins, Valkyrie wing-weather, thunder scars, frost-giant mass, shield-wall geometry, ash wood, funeral flame, runes burned as physical wounds not UI glow.."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-019","Zeus","Olympian","Endurance","Male","{""hp"": 50, ""attack"": 11, ""range"": 2, ""energy"": 5, ""speed"": 2, ""armor"": 19, ""resistance"": 12, ""critChance"": 7, ""accuracy"": 82, ""evasion"": 4, ""guardBreak"": 8, ""combatPower"": 242}","[""Zeus \u2014 Aegis Spear Thrust Anchor"", ""Laurel Trial Technique \u2014 Bastion"", ""Zeus: Olympian Verdict Contest Holdfast"", ""Divine Ascension \u2014 Nike Crowned Ascension""]","{""mythology"": ""Olympian defender office: sovereign protector, gate-holder, law shield; Zeus: sky authority, thunder verdict, kingship"", ""realm"": ""The Celestial Heights of Olympus"", ""civilization"": ""A competitive sky-polity whose marble courts, bronze phalanx geometry, laurel verdicts, oracle fumes, divine smithing, athlete-warrior rites, and cloud thrones later appeared in human Greek cult, epic, and city-state myth."", ""cultureRule"": ""source culture humans later copied as Greek myth"", ""beautyStandard"": ""Olympian masculinity: athletic proportion, laurel authority, bronze-lit muscle, symmetrical nobility, heroic posture without bodybuilder sameness"", ""realmAnatomy"": ""marble-light living anatomy with bronze tendons, laurel nerve filaments, oracle-smoke breath, aegis scale patches, and thunder/starfire pupils"", ""identityFace"": ""scarred veteran face with broken cheek plane, braided mustache, heavy lower jaw, and narrowed survivor eyes; unique to Zeus through the broken crown prong facial/cranial rhythm"", ""identityBody"": ""massive oath-anchor torso, thick forearms, grounded legs, shield-wall stance, unmistakably masculine without losing individual anatomy; height/proportion offset 19: floating oath-ring stack changes the black-shape read"", ""roleSilhouette"": ""fortress-readable silhouette with broad guard arms, heavy base, protective negative space, and a weapon planted like law plus root-wrapped ankle guard so the character reads alone in silhouette"", ""signatureWeapon"": ""Zeus Bulwark Aegis Laurel Spear"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Zeus mask/helmet/crown uses spiral hip-chain, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Full-body living myth-source Deity, not a costume: Zeus shows living marble-light bodies, bronze cuirasses, laurel circuits, aegis scales, thunder tribunal halos, oracle smoke, amphitheater armor curves, hoplite shield geometry, winged victory accents, gold-blue skyfire, carved but non-readable relief bands.."", ""resolvedArtIdentityPass"": true}"
"MG-DEITY-020","Athena","Olympian","Conduit","Female","{""hp"": 42, ""attack"": 11, ""range"": 3, ""energy"": 5, ""speed"": 3, ""armor"": 9, ""resistance"": 14, ""critChance"": 8, ""accuracy"": 84, ""evasion"": 7, ""guardBreak"": 6, ""combatPower"": 230}","[""Athena \u2014 Aegis Spear Thrust Kindle"", ""Laurel Trial Technique \u2014 Reservoir"", ""Athena: Olympian Verdict Contest Overchannel"", ""Divine Ascension \u2014 Nike Crowned Ascension""]","{""mythology"": ""Olympian battery office: renewal engine, resource hearth, stored sacred force; Athena: strategy, aegis, owl sight, spear and shield order"", ""realm"": ""The Celestial Heights of Olympus"", ""civilization"": ""A competitive sky-polity whose marble courts, bronze phalanx geometry, laurel verdicts, oracle fumes, divine smithing, athlete-warrior rites, and cloud thrones later appeared in human Greek cult, epic, and city-state myth."", ""cultureRule"": ""source culture humans later copied as Greek myth"", ""beautyStandard"": ""Olympian masculinity: athletic proportion, laurel authority, bronze-lit muscle, symmetrical nobility, heroic posture without bodybuilder sameness"", ""realmAnatomy"": ""marble-light living anatomy with bronze tendons, laurel nerve filaments, oracle-smoke breath, aegis scale patches, and thunder/starfire pupils"", ""identityFace"": ""mask-framed priest-warrior face with tall forehead, carved lips, unusual eye spacing, and ritual mark asymmetry; unique to Athena through the left-shoulder raven mantle facial/cranial rhythm"", ""identityBody"": ""masculine mythic playable build; height/proportion offset 20: single back banner changes the black-shape read"", ""roleSilhouette"": ""clear unique playable silhouette plus wing-shadow cape edge so the character reads alone in silhouette"", ""signatureWeapon"": ""Athena Generator Aegis Laurel Spear"", ""auditStatus"": ""PASS"", ""updated"": ""2026-08-17"", ""maskHelmetIdentity"": ""Athena mask/helmet/crown uses split cloak tail, sex-specific eye framing, and role-specific brow/cheek geometry; never interchangeable faction headgear."", ""armorIdentity"": ""Full-body living myth-source Deity, not a costume: Athena shows living marble-light bodies, bronze cuirasses, laurel circuits, aegis scales, thunder tribunal halos, oracle smoke, amphitheater armor curves, hoplite shield geometry, winged victory accents, gold-blue skyfire, carved but non-readable relief bands.."", ""resolvedArtIdentityPass"": true}"
