id,name,sourceFactionId,faction,playable,encounterTags,stats,scaling,balanceNotes,loreGuardrails
"MG-CREATURE-001","Hollow Wretch","","","False","[""hollow"", ""general""]","{""levelBand"": [1, 25], ""hp"": 45, ""damage"": 8, ""range"": 1, ""armor"": 2, ""resistance"": 2, ""movement"": 4, ""initiative"": 40, ""accuracy"": 72, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 1.0, ""xpValue"": 10}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Minor SWARMER pressures one active deity through behavior first, stats second; threatWeight 1.0 controls encounter budgets.",""
"MG-CREATURE-002","Gateborn Colossus","","","False","[""hollow"", ""general""]","{""levelBand"": [15, 55], ""hp"": 131, ""damage"": 17, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-003","Beast Realm Maneater","","","False","","{""levelBand"": [15, 55], ""hp"": 104, ""damage"": 20, ""range"": 1, ""armor"": 7, ""resistance"": 5, ""movement"": 4, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 10, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major EXECUTIONER pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-004","Forgotten Standard Bearer","","","False","[""hollow"", ""general""]","{""levelBand"": [35, 85], ""hp"": 187, ""damage"": 18, ""range"": 3, ""armor"": 16, ""resistance"": 10, ""movement"": 3, ""initiative"": 58, ""accuracy"": 82, ""evasion"": 9, ""guardBreak"": 16, ""threatWeight"": 4.0, ""xpValue"": 70}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Elite GUARDIAN pressures one active deity through behavior first, stats second; threatWeight 4.0 controls encounter budgets.",""
"MG-CREATURE-005","Ancient World Boss: Leviathan of the First Flood","","","False","","{""levelBand"": [70, 100], ""hp"": 535, ""damage"": 29, ""range"": 3, ""armor"": 18, ""resistance"": 18, ""movement"": 2, ""initiative"": 65, ""accuracy"": 86, ""evasion"": 5, ""guardBreak"": 32, ""threatWeight"": 12.0, ""xpValue"": 350}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: World Boss CHAMPION pressures one active deity through behavior first, stats second; threatWeight 12.0 controls encounter budgets.",""
"MG-CREATURE-006","Hollow Choirling","","","False","[""swarm"", ""silence"", ""support"", ""early-campaign""]","{""levelBand"": [1, 25], ""hp"": 60, ""damage"": 9, ""range"": 4, ""armor"": 2, ""resistance"": 6, ""movement"": 4, ""initiative"": 46, ""accuracy"": 72, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 1.0, ""xpValue"": 10}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Minor DISRUPTOR pressures one active deity through behavior first, stats second; threatWeight 1.0 controls encounter budgets.",""
"MG-CREATURE-007","Hollow Knell Archer","","","False","[""ranged"", ""mark"", ""backline"", ""event""]","{""levelBand"": [1, 25], ""hp"": 63, ""damage"": 10, ""range"": 1, ""armor"": 2, ""resistance"": 2, ""movement"": 4, ""initiative"": 40, ""accuracy"": 72, ""evasion"": 8, ""guardBreak"": 10, ""threatWeight"": 1.0, ""xpValue"": 10}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Minor SWARMER pressures one active deity through behavior first, stats second; threatWeight 1.0 controls encounter budgets.",""
"MG-CREATURE-008","Hollow Oath-Eater","","","False","[""anti-oath"", ""debuff"", ""asgardian"", ""elite""]","{""levelBand"": [15, 55], ""hp"": 149, ""damage"": 15, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-009","Hollow Sunless Magistrate","","","False","[""controller"", ""objective-corruptor"", ""aten-ra"", ""elite""]","{""levelBand"": [35, 85], ""hp"": 182, ""damage"": 19, ""range"": 3, ""armor"": 11, ""resistance"": 10, ""movement"": 3, ""initiative"": 58, ""accuracy"": 82, ""evasion"": 9, ""guardBreak"": 16, ""threatWeight"": 4.0, ""xpValue"": 70}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Elite ELITE pressures one active deity through behavior first, stats second; threatWeight 4.0 controls encounter budgets.",""
"MG-CREATURE-010","Hollow Banner Maw","","","False","[""swarm-commander"", ""forgotten"", ""morale"", ""event""]","{""levelBand"": [15, 55], ""hp"": 155, ""damage"": 17, ""range"": 1, ""armor"": 11, ""resistance"": 5, ""movement"": 3, ""initiative"": 48, ""accuracy"": 78, ""evasion"": 6, ""guardBreak"": 12, ""threatWeight"": 2.0, ""xpValue"": 28}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +1 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Major BRUTE pressures one active deity through behavior first, stats second; threatWeight 2.0 controls encounter budgets.",""
"MG-CREATURE-011","Hollow Mirror Saint","","","False","[""shield"", ""empyrean"", ""elite"", ""raid-add""]","{""levelBand"": [35, 85], ""hp"": 188, ""damage"": 21, ""range"": 3, ""armor"": 11, ""resistance"": 10, ""movement"": 3, ""initiative"": 58, ""accuracy"": 82, ""evasion"": 9, ""guardBreak"": 16, ""threatWeight"": 4.0, ""xpValue"": 70}","{""campaign"": ""Fixed mission bands; old wins should become easier as Divine Level and gear rise."", ""eliteRemix"": ""+12% hp, +10% damage, +1 mechanic layer, +2 tactical AI priority."", ""endgame"": ""Dynamic scaling is capped at player effective level +8; adds mechanics before raw hp."", ""levelFormula"": ""hp = baseHp * (1 + 0.045 * missionLevel); damage = baseDamage * (1 + 0.035 * missionLevel), capped by tier budget""}","Harder solo tuning: Elite ELITE pressures one active deity through behavior first, stats second; threatWeight 4.0 controls encounter budgets.",""
